Lewis Hamilton,537,23.51,13.173,265
Sergio Pérez,517,24.122,13.201,256
Sebastian Vettel,463,23.735,13.335,224
Daniel Ricciardo,462,24.17,14.493,239
Fernando Alonso,456,23.8,15.104,218
Valtteri Bottas,435,24.847,14.978,228
Nico Hülkenberg,367,24.401,14.128,180
Max Verstappen,361,24.174,14.113,181
Kimi Räikkönen,356,24.539,14.943,182
Carlos Sainz,329,24.8,14.966,179
Felipe Massa,315,23.722,13.259,131
Kevin Magnussen,314,25.244,14.175,163
Romain Grosjean,303,24.812,15.073,156
Lance Stroll,280,24.523,14.118,147
Jenson Button,259,23.379,14.501,111
Nico Rosberg,249,23.267,16.623,111
Pierre Gasly,238,24.661,13.973,128
Esteban Ocon,233,25.229,14.041,130
Charles Leclerc,226,24.399,14.008,128
George Russell,218,24.736,17.946,112
