Miami International Autodrome,USA,1,1,3
Sochi Autodrom,Russia,1.1,1,8
Circuit de Monaco,Monaco,1.2,1,13
Autodromo Nazionale di Monza,Italy,1.2,1,13
Circuit Paul Ricard,France,1.3,1,4
Jeddah Corniche Circuit,Saudi Arabia,1.5,1,4
Autódromo Hermanos Rodríguez,Mexico,1.5,1,8
Circuit of the Americas,USA,1.6,2,11
Yas Marina Circuit,UAE,1.6,1,13
Albert Park Grand Prix Circuit,Australia,1.7,2,12
Buddh International Circuit,India,1.7,2,3
Autodromo Enzo e Dino Ferrari,Italy,1.8,2,4
Circuit de Spa-Francorchamps,Belgium,1.8,2,12
Circuit Gilles Villeneuve,Canada,1.9,2,12
Red Bull Ring,Austria,1.9,1,13
Silverstone Circuit,UK,1.9,2,15
Istanbul Park,Turkey,2,1,3
Baku City Circuit,Azerbaijan,2,1,7
Korean International Circuit,Korea,2,2,3
Suzuka Circuit,Japan,2.1,2,12
Marina Bay Street Circuit,Singapore,2.1,1,11
Bahrain International Circuit,Bahrain,2.3,2,14
Hungaroring,Hungary,2.4,2,13
Shanghai International Circuit,China,2.4,2,10
Circuit de Barcelona-Catalunya,Spain,2.4,2,14
Hockenheimring,Germany,2.6,2,5
Sepang International Circuit,Malaysia,2.6,3,7
Nürburgring,Germany,2.7,3,3
Autódromo José Carlos Pace,Brazil,2.8,2,12
Circuit Park Zandvoort,Netherlands,4,2,3
